trial,seed,goal_reward,concede_penalty,hit_reward,timesteps,blue_goals_per_game,red_goals_per_game,goal_difference
1,1,0.7773709857130457,-1.5402954463627823,0.11522188862769736,500000,3.19,8.37,-5.18
1,2,0.7773709857130457,-1.5402954463627823,0.11522188862769736,500000,5.45,1.21,4.24
1,3,0.7773709857130457,-1.5402954463627823,0.11522188862769736,500000,3.79,3.08,0.71
2,1,1.2580079794449333,-1.918886109503858,0.4201141802588777,500000,0.42,0.67,-0.25000000000000006
2,2,1.2580079794449333,-1.918886109503858,0.4201141802588777,500000,4.88,7.52,-2.6399999999999997
2,3,1.2580079794449333,-1.918886109503858,0.4201141802588777,500000,1.73,1.65,0.08000000000000007
3,1,1.8783398806735283,-0.763383501255628,0.6882000996668034,500000,5.51,8.2,-2.6899999999999995
3,2,1.8783398806735283,-0.763383501255628,0.6882000996668034,500000,1.28,2.26,-0.9799999999999998
3,3,1.8783398806735283,-0.763383501255628,0.6882000996668034,500000,0.67,1.83,-1.1600000000000001
4,1,1.7870912548891025,-1.1207791103461422,0.5775149892034482,500000,1.75,2.4,-0.6499999999999999
4,2,1.7870912548891025,-1.1207791103461422,0.5775149892034482,500000,1.51,1.8,-0.29000000000000004
4,3,1.7870912548891025,-1.1207791103461422,0.5775149892034482,500000,5.73,4.46,1.2700000000000005
5,1,1.8782699482908778,-0.5955894788103673,0.802295517307651,500000,1.63,3.78,-2.15
5,2,1.8782699482908778,-0.5955894788103673,0.802295517307651,500000,0.9,2.77,-1.87
5,3,1.8782699482908778,-0.5955894788103673,0.802295517307651,500000,6.35,5.21,1.1399999999999997
