trial,seed,hit_reward,approach_reward,no_approach_penalty,slow_movement_penalty,defensive_reposition_reward,defensive_home_x_fraction,defensive_home_y_fraction,chaser_speed_fraction,goal_reward,concede_penalty,puck_stall_movement_threshold,timesteps,blue_goals_per_game,red_goals_per_game,goal_difference,average_reward_per_game
1,1,0.3770295374612034,0.009757839228867134,-0.007399436727088972,-0.005045244900761022,0.002,0.5,0.85,1.0,2.0,-2.0,0.5,300000,1.87,8.31,-6.44,88.40721669107297
1,2,0.3770295374612034,0.009757839228867134,-0.007399436727088972,-0.005045244900761022,0.002,0.5,0.85,1.0,2.0,-2.0,0.5,300000,4.7,6.57,-1.87,34.16041473049319
1,3,0.3770295374612034,0.009757839228867134,-0.007399436727088972,-0.005045244900761022,0.002,0.5,0.85,1.0,2.0,-2.0,0.5,300000,7.25,5.9,1.3499999999999996,130.61958644220925
2,1,0.3890722988363977,0.004682040853491939,-0.00240711157111001,-0.018299663999754415,0.002,0.5,0.85,1.0,2.0,-2.0,0.5,300000,2.67,1.84,0.8299999999999998,413.63726558765586
2,2,0.3890722988363977,0.004682040853491939,-0.00240711157111001,-0.018299663999754415,0.002,0.5,0.85,1.0,2.0,-2.0,0.5,300000,4.6,4.0,0.5999999999999996,75.06646269574742
2,3,0.3890722988363977,0.004682040853491939,-0.00240711157111001,-0.018299663999754415,0.002,0.5,0.85,1.0,2.0,-2.0,0.5,300000,6.11,5.58,0.5300000000000002,71.39949353238235
3,1,0.1390549428463959,0.0039195112818906285,-0.012541103343367931,-0.014103239992808804,0.002,0.5,0.85,1.0,2.0,-2.0,0.5,300000,4.66,7.8,-3.1399999999999997,-1.7415397094145075
3,2,0.1390549428463959,0.0039195112818906285,-0.012541103343367931,-0.014103239992808804,0.002,0.5,0.85,1.0,2.0,-2.0,0.5,300000,5.41,7.62,-2.21,16.693272095692922
3,3,0.1390549428463959,0.0039195112818906285,-0.012541103343367931,-0.014103239992808804,0.002,0.5,0.85,1.0,2.0,-2.0,0.5,300000,4.68,5.77,-1.0899999999999999,19.084012734363284
4,1,0.6186507120926577,0.0008250704014247721,-0.0013985374551507418,-0.0012137793524765877,0.002,0.5,0.85,1.0,2.0,-2.0,0.5,300000,5.73,8.37,-2.639999999999999,43.557491270070926
4,2,0.6186507120926577,0.0008250704014247721,-0.0013985374551507418,-0.0012137793524765877,0.002,0.5,0.85,1.0,2.0,-2.0,0.5,300000,4.83,7.34,-2.51,39.06045070927167
4,3,0.6186507120926577,0.0008250704014247721,-0.0013985374551507418,-0.0012137793524765877,0.002,0.5,0.85,1.0,2.0,-2.0,0.5,300000,5.08,7.75,-2.67,258.3752545720347
5,1,0.6214735867577017,0.004539511508371723,-0.0008009700416712912,-0.007822696232109226,0.002,0.5,0.85,1.0,2.0,-2.0,0.5,300000,5.86,7.38,-1.5199999999999996,155.20205897024871
5,2,0.6214735867577017,0.004539511508371723,-0.0008009700416712912,-0.007822696232109226,0.002,0.5,0.85,1.0,2.0,-2.0,0.5,300000,1.07,8.11,-7.039999999999999,401.8426843730649
5,3,0.6214735867577017,0.004539511508371723,-0.0008009700416712912,-0.007822696232109226,0.002,0.5,0.85,1.0,2.0,-2.0,0.5,300000,4.65,6.02,-1.3699999999999992,207.28668674631948
