trial,seed,chase_start_reward,save_reward,opponent_save_penalty,timesteps,blue_goals_per_game,red_goals_per_game,goal_difference,blue_saves_per_game,opponent_saves_per_game,average_reward_per_game
2,1,0.035309574993920366,0.4830953749983792,-0.31636048931184635,200000,0.42,0.94,-0.52,0.21,0.03,0.7110461033741754
2,2,0.035309574993920366,0.4830953749983792,-0.31636048931184635,200000,0.22,0.99,-0.77,0.01,0.24,0.020811161916737063
2,3,0.035309574993920366,0.4830953749983792,-0.31636048931184635,200000,0.3,0.95,-0.6499999999999999,0.21,0.1,-0.5095668701936844
3,1,0.10580430661846756,0.32121474391650096,-0.3806159202195305,200000,2.64,2.26,0.38000000000000034,0.69,0.65,2.1582012530045627
3,2,0.10580430661846756,0.32121474391650096,-0.3806159202195305,200000,0.52,0.97,-0.44999999999999996,0.1,0.1,0.7862024420705062
3,3,0.10580430661846756,0.32121474391650096,-0.3806159202195305,200000,0.23,0.97,-0.74,0.13,0.04,3.7990869571780035
4,1,0.16295398623939525,0.5415022750180489,-0.36057209191866507,200000,2.17,1.82,0.34999999999999987,0.57,0.43,4.711082221936446
4,2,0.16295398623939525,0.5415022750180489,-0.36057209191866507,200000,0.32,0.94,-0.6199999999999999,0.05,0.08,4.304328350414328
4,3,0.16295398623939525,0.5415022750180489,-0.36057209191866507,200000,1.35,1.36,-0.010000000000000009,0.85,0.18,6.06269083780051
5,1,0.14146252776666923,0.23595195715212122,-0.22630463605043502,200000,0.36,0.95,-0.59,0.17,0.08,5.16548371221493
5,2,0.14146252776666923,0.23595195715212122,-0.22630463605043502,200000,0.9,1.44,-0.5399999999999999,0.37,0.16,1.9994193457939269
5,3,0.14146252776666923,0.23595195715212122,-0.22630463605043502,200000,1.41,1.99,-0.5800000000000001,0.26,0.28,2.2896715244288144
