trial,average_blue_goals,goal_reward,good_hit_reward,opponent_touch_penalty,block_penalty,std_blue_goals,average_red_goals,average_goal_difference,total_blue_goals,total_red_goals,model_path
1,0.3799999952316284,1.0,0.2,-0.1,-0.3,0.5055689811706543,1.350000023841858,-0.9700000286102295,38,135,offensive_reward_tuning\models\trial_1.zip
2,0.46000000834465027,1.0,0.4648080464085739,-0.34181222270910705,-0.8160811883229055,0.5902541875839233,1.3799999952316284,-0.9200000166893005,46,138,offensive_reward_tuning\models\trial_2.zip
3,0.4099999964237213,1.0,0.10228013927651985,-0.21613748545915668,-0.40445529702074845,0.6015812158584595,1.409999966621399,-1.0,41,141,offensive_reward_tuning\models\trial_3.zip
4,0.38999998569488525,1.0,0.4974022564601515,-0.4431541777355492,-0.9836440240387367,0.581291675567627,1.309999942779541,-0.9200000166893005,39,131,offensive_reward_tuning\models\trial_4.zip
5,0.9300000071525574,1.0,0.49796707258629214,-0.48327186429091895,-0.9818859385370219,0.9083501100540161,1.3600000143051147,-0.4300000071525574,93,136,offensive_reward_tuning\models\trial_5.zip
6,0.36000001430511475,1.0,0.32934344863787657,-0.021310917716165667,-0.07430336046554897,0.5200000405311584,1.3799999952316284,-1.0199999809265137,36,138,offensive_reward_tuning\models\trial_6.zip
7,0.41999998688697815,1.0,0.0007832273555533065,-0.2816715857831273,-0.6356467506051067,0.5688585042953491,1.2799999713897705,-0.8600000143051147,42,128,offensive_reward_tuning\models\trial_7.zip
8,0.4399999976158142,1.0,0.3099493120080621,-0.4908869768489402,-0.007359845096898798,0.6216107606887817,1.2699999809265137,-0.8299999833106995,44,127,offensive_reward_tuning\models\trial_8.zip
9,3.819999933242798,1.0,0.3433329633809199,-0.1889351942404699,-0.5733425068877368,2.3510847091674805,1.3200000524520874,2.5,382,132,offensive_reward_tuning\models\trial_9.zip
10,0.38999998569488525,1.0,0.34109432476542045,-0.14808991141761757,-0.6015097386593723,0.5271621942520142,1.440000057220459,-1.0499999523162842,39,144,offensive_reward_tuning\models\trial_10.zip
